Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Nathan Rakestraw,14,2,11:36 - s,2,264 reps - s,4,15:35 - s,4,290 reps - s,2,5:58 - s
2,Charles Baggio,22,1,10:52 - s,1,311 reps - s,18,17:35 - s,1,355 reps - s,1,5:35 - s
3,Adam Milliren,103,9,12:29 - s,25,220 reps - s,9,16:39 - s,52,257 reps - s,8,6:41 - s
4,Michael Wright,108,13,12:58 - s,7,238 reps - s,45,20:20 - s,39,262 reps - s,4,6:06 - s
5,Tanner Dunlap,113,12,12:55 - s,3,248 reps - s,34,19:28 - s,27,268 reps - s,37,7:26 - s
6,Michael Whittlinger,129,6,12:16 - s,9,234 reps - s,79,23:19 - s,20,275 reps - s,15,6:57 - s
7,Jarrod Heltsley,131,49,14:09 - s,15,226 reps - s,19,17:46 - s,6,286 reps - s,42,7:30 - s
8,Michael Hartmann,195,38,13:46 - s,26,219 reps - s,112,191 reps - s,3,295 reps - s,16,6:58 - s
9,Terry Hancock,223,10,12:44 - s,116,190 reps - s,28,18:46 - s,45,258 reps - s,24,7:08 - s
10,Michael Bowers,236,25,13:31 - s,8,237 reps - s,124,191 reps - s,43,261 reps - s,36,7:25 - s
11,Rob Waters,241,41,13:58 - s,38,214 reps - s,123,191 reps - s,18,275 reps - s,21,7:06 - s
12,Jeff Bahrenfuss,244,28,13:34 - s,22,221 reps - s,114,191 reps - s,17,275 reps - s,63,7:48 - s
13,Jeremy Lindquist,246,23,13:27 - s,74,203 reps - s,136,191 reps - s,2,298 reps - s,11,6:44 - s
14,Sean Huneke,264,117,15:13 - s,17,225 reps - s,84,23:48 - s,13,277 reps - s,33,7:19 - s
15,Adam Koziczkowski,305,49,14:09 - s,172,175 reps - s,7,16:27 - s,33,264 reps - s,44,7:33 - s
16,Chris Ford,316,75,14:40 - s,53,209 reps - s,3,12:53 - s,83,250 reps - s,102,8:13 - s
17,Dave Dettmann,319,139,15:29 - s,109,192 reps - s,25,18:28 - s,36,264 reps - s,10,6:42 - s
18,Jordan Atterberry,320,5,11:54 - s,5,244 reps - s,197,167 reps - s,100,246 reps - s,13,6:50 - s
19,David Arnett,326,71,14:31 - s,20,222 reps - s,211,167 reps - s,8,285 reps - s,16,6:58 - s
20,Ben Quinnell,328,49,14:09 - s,36,214 reps - s,51,21:12 - s,112,244 reps - s,80,8:00 - s
21,Ryan Sykora,330,2,11:36 - s,14,227 reps - s,246,155 reps - s,15,276 reps - s,53,7:41 - s
21,Dave Hayungs,330,180,15:52 - s,37,214 reps - s,54,21:15 - s,24,270 reps - s,35,7:22 - s
23,Justin Converse,333,99,15:01 - s,29,218 reps - s,159,179 reps - s,12,280 reps - s,34,7:20 - s
24,Kelly Marten,336,36,13:45 - s,141,180 reps - s,113,191 reps - s,5,287 reps - s,41,7:29 - s
24,Jim Harald,336,79,14:46 - s,83,199 reps - s,135,191 reps - s,11,281 reps - s,28,7:13 - s
26,Jason Ausman,344,52,14:11 - s,79,201 reps - s,119,191 reps - s,48,258 reps - s,46,7:34 - s
27,Ezekiel Hill,368,36,13:45 - s,76,202 reps - s,111,192 reps - s,64,253 reps - s,81,8:01 - s
28,Ian Anthony,381,68,14:29 - s,41,213 reps - s,2,12:06 - s,264,225 reps - s,6,6:26 - s
29,Matthew Cuadra,387,102,15:02 - s,137,181 reps - s,14,17:10 - s,92,247 reps - s,42,7:30 - s
30,Christian Beer,398,72,14:37 - s,88,198 reps - s,180,178 reps - s,38,262 reps - s,20,7:04 - s
31,Taylor Rignell,446,29,13:35 - s,48,210 reps - s,293,154 reps - s,58,254 reps - s,18,7:01 - s
32,Tracy McIntire,447,179,15:51 - s,64,206 reps - s,53,21:14 - s,49,257 reps - s,102,8:13 - s
33,Matt Glanville,454,39,13:53 - s,35,214 reps - s,59,21:42 - s,87,248 reps - s,234,9:15 - s
34,Charles Lauder,455,260,16:41 - s,45,210 reps - s,13,17:05 - s,116,244 reps - s,21,7:06 - s
35,Scott Copeland,461,176,15:50 - s,52,209 reps - s,198,167 reps - s,32,265 reps - s,3,6:01 - s
36,Devon Kerns,465,16,13:06 - s,45,210 reps - s,260,154 reps - s,125,243 reps - s,19,7:03 - s
