Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Christopher Wyant,15,1,10:45 - s,3,260 reps - s,3,14:47 - s,6,288 reps - s,2,6:16 - s
2,Patrick Ruggiero,67,25,14:00 - s,7,231 reps - s,5,15:48 - s,23,267 reps - s,7,6:50 - s
3,Al DiGangi,103,28,14:10 - s,34,208 reps - s,1,13:15 - s,31,262 reps - s,9,6:52 - s
4,Mike Tesler,112,51,14:44 - s,6,237 reps - s,27,21:34 - s,5,290 reps - s,23,7:22 - s
5,Jonathan Germer,118,12,13:16 - s,11,220 reps - s,36,22:52 - s,13,277 reps - s,46,7:39 - s
6,Peter Geronimo,122,35,14:20 - s,19,215 reps - s,13,19:25 - s,7,285 reps - s,48,7:41 - s
7,Joshua Tilton,171,2,11:33 - s,15,217 reps - s,135,167 reps - s,9,280 reps - s,10,6:53 - s
8,Ronald Ruggiero Jr.,182,55,14:52 - s,47,204 reps - s,18,20:28 - s,32,262 reps - s,30,7:25 - s
9,Eric Jensen,248,47,14:36 - s,69,198 reps - s,89,191 reps - s,1,303 reps - s,42,7:29 - s
10,Austin Kapetanakis,249,3,11:51 - s,81,193 reps - s,102,178 reps - s,34,260 reps - s,29,7:24 - s
11,Steffen Allen,256,55,14:52 - s,65,199 reps - s,99,179 reps - s,3,292 reps - s,34,7:26 - s
12,William Ewe,257,139,15:53 - s,23,211 reps - s,16,20:15 - s,8,283 reps - s,71,8:05 - s
12,Devin Conaway,257,40,14:25 - s,17,216 reps - s,153,166 reps - s,17,275 reps - s,30,7:25 - s
14,Robert Gayda,259,68,15:01 - s,10,220 reps - s,7,16:30 - s,58,252 reps - s,116,8:34 - s
15,Gabriel Seijas,273,44,14:32 - s,27,209 reps - s,148,166 reps - s,12,277 reps - s,42,7:29 - s
16,peter huggins,292,7,12:48 - s,42,204 reps - s,189,154 reps - s,39,258 reps - s,15,7:10 - s
17,Howard Hyman,300,42,14:29 - s,22,212 reps - s,73,191 reps - s,88,245 reps - s,75,8:10 - s
18,Eric Spenlinhauer,301,55,14:52 - s,29,209 reps - s,79,191 reps - s,104,243 reps - s,34,7:26 - s
19,Vincent Demarzo,303,16,13:32 - s,86,190 reps - s,165,165 reps - s,25,266 reps - s,11,6:58 - s
19,Jake Lambert,303,22,13:55 - s,43,204 reps - s,65,191 reps - s,95,245 reps - s,78,8:11 - s
21,Greg Hobbs,313,28,14:10 - s,12,218 reps - s,40,23:18 - s,42,257 reps - s,191,9:11 - s
22,Mark Farro,324,47,14:36 - s,23,211 reps - s,57,204 reps - s,144,237 reps - s,53,7:43 - s
23,Chris Brandes,342,31,14:13 - s,53,202 reps - s,134,167 reps - s,26,265 reps - s,98,8:26 - s
24,Chris Marshall,346,36,14:21 - s,198,170 reps - s,107,178 reps - s,2,301 reps - s,3,6:35 - s
25,Ryan Pratt,350,148,15:56 - s,108,181 reps - s,21,21:07 - s,37,259 reps - s,36,7:27 - s
26,Brad Gerick,377,31,14:13 - s,30,208 reps - s,276,141 reps - s,10,280 reps - s,30,7:25 - s
27,Franco Vallejo,453,22,13:55 - s,4,243 reps - s,407,130 reps - s,19,270 reps - s,1,5:45 - s
28,Wesley Bedford,457,158,16:02 - s,150,175 reps - s,25,21:21 - s,64,251 reps - s,60,7:49 - s
29,Rocco Bambaci,464,5,12:47 - s,121,180 reps - s,120,178 reps - s,36,259 reps - s,182,9:08 - s
30,Tom Wansor,478,263,16:39 - s,28,209 reps - s,81,191 reps - s,55,253 reps - s,51,7:42 - s
31,Sam Shelford,480,53,14:46 - s,8,229 reps - s,293,141 reps - s,81,247 reps - s,45,7:34 - s
32,Jay Paul,496,147,15:55 - s,101,183 reps - s,12,18:48 - s,18,275 reps - s,218,9:24 - s
33,Dana Pyenson,504,71,15:04 - s,196,170 reps - s,130,168 reps - s,44,257 reps - s,63,7:50 - s
34,Cameron Tullie,533,76,15:10 - s,107,181 reps - s,204,154 reps - s,123,240 reps - s,23,7:22 - s
35,Tom Toupin,578,9,13:01 - s,20,213 reps - s,409,129 reps - s,27,264 reps - s,113,8:33 - s
36,Jason Hanna,582,76,15:10 - s,129,177 reps - s,179,155 reps - s,175,234 reps - s,23,7:22 - s
37,Matthew Gallagher,603,20,13:43 - s,221,167 reps - s,256,142 reps - s,70,249 reps - s,36,7:27 - s
38,Patrick Quinn-Paquet,618,331,17:05 - s,59,200 reps - s,56,204 reps - s,91,245 reps - s,81,8:14 - s
39,Gabriel Houdelette,622,113,15:38 - s,47,204 reps - s,19,20:46 - s,101,244 reps - s,342,10:00 - s
40,Phil Willerton,623,126,15:46 - s,169,173 reps - s,208,154 reps - s,76,248 reps - s,44,7:31 - s
41,Michael Matty,630,139,15:53 - s,95,186 reps - s,15,19:54 - s,99,244 reps - s,282,9:43 - s
41,Joe Freda,630,94,15:28 - s,36,207 reps - s,311,141 reps - s,28,264 reps - s,161,8:59 - s
43,Jon Hood,648,94,15:28 - s,38,206 reps - s,212,154 reps - s,71,249 reps - s,233,9:27 - s
44,Mike Shaw,680,244,16:34 - s,86,190 reps - s,173,155 reps - s,130,240 reps - s,47,7:40 - s
45,Brian Albert,685,202,16:22 - s,94,186 reps - s,192,154 reps - s,49,255 reps - s,148,8:50 - s
46,Jed Clark,688,8,12:51 - s,409,146 reps - s,196,154 reps - s,22,267 reps - s,53,7:43 - s
47,Michael Verdi,691,94,15:28 - s,113,180 reps - s,253,142 reps - s,133,239 reps - s,98,8:26 - s
48,Steve Gallagher,698,158,16:02 - s,105,182 reps - s,334,132 reps - s,93,245 reps - s,8,6:51 - s
49,Joseph Meyers,703,139,15:53 - s,70,198 reps - s,220,154 reps - s,87,245 reps - s,187,9:10 - s
50,Peter Restivo,730,74,15:09 - s,91,188 reps - s,67,191 reps - s,293,220 reps - s,205,9:19 - s
51,Chris Herndon,746,100,15:32 - s,31,208 reps - s,401,130 reps - s,35,260 reps - s,179,9:07 - s
52,James Aquilina,758,345,17:12 - s,138,176 reps - s,101,179 reps - s,160,236 reps - s,14,7:06 - s
52,Paul Stalzer,758,100,15:32 - s,35,207 reps - s,176,155 reps - s,213,229 reps - s,234,9:28 - s
54,Peter Sikora,762,62,14:55 - s,45,204 reps - s,433,126 reps - s,171,235 reps - s,51,7:42 - s
55,Michael Racanello,766,133,15:49 - s,115,180 reps - s,470,118 reps - s,29,264 reps - s,19,7:14 - s
56,Sean Jackson,772,503,17:59 - s,127,177 reps - s,111,178 reps - s,14,277 reps - s,17,7:11 - s
57,Dan Feliz,778,82,15:16 - s,89,188 reps - s,533,110 reps - s,61,251 reps - s,13,7:04 - s
58,Paul Giunta,787,156,16:00 - s,60,200 reps - s,150,166 reps - s,86,245 reps - s,335,9:58 - s
59,Flavio Assuncao,789,292,16:53 - s,46,204 reps - s,66,191 reps - s,349,217 reps - s,36,7:27 - s
60,Michael Percy,795,384,17:24 - s,33,208 reps - s,190,154 reps - s,90,245 reps - s,98,8:26 - s
61,Mike Fiore,826,199,16:21 - s,66,199 reps - s,161,166 reps - s,102,244 reps - s,298,9:47 - s
62,Albert Wu,853,191,16:16 - s,115,180 reps - s,445,120 reps - s,43,257 reps - s,59,7:48 - s
63,Ben Bowers,863,165,16:05 - s,32,208 reps - s,10,18:43 - s,516,207 reps - s,140,8:46 - s
64,Marty OKeefe,865,408,17:30 - s,52,202 reps - s,201,154 reps - s,138,238 reps - s,66,7:55 - s
65,Brad Horowitz,872,107,15:33 - s,214,168 reps - s,200,154 reps - s,329,219 reps - s,22,7:20 - s
66,Jim Van Orden,873,194,16:19 - s,73,196 reps - s,28,21:37 - s,487,209 reps - s,91,8:22 - s
67,Donny Estes,877,240,16:33 - s,210,169 reps - s,375,131 reps - s,4,292 reps - s,48,7:41 - s
