Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Bahman Engineer,14,1,11:12 - s,5,220 reps - s,4,18:45 - s,1,306 reps - s,3,6:48 - s
2,Nate Lawson,22,3,12:26 - s,3,243 reps - s,1,12:00 - s,5,265 reps - s,10,7:39 - s
3,Craig Donaldson,55,11,13:57 - s,12,209 reps - s,28,191 reps - s,2,287 reps - s,2,6:43 - s
4,Peter Gascon,79,4,12:47 - s,18,206 reps - s,38,178 reps - s,18,250 reps - s,1,6:35 - s
5,Zachary Gentry,86,6,13:45 - s,7,216 reps - s,30,191 reps - s,11,253 reps - s,32,8:19 - s
5,Steven Baronian,86,15,14:24 - s,9,210 reps - s,18,23:27 - s,6,259 reps - s,38,8:29 - s
7,Steven Long,104,7,13:46 - s,25,202 reps - s,61,155 reps - s,4,267 reps - s,7,7:31 - s
8,Arnie Kuck,108,15,14:24 - s,10,209 reps - s,35,191 reps - s,23,248 reps - s,25,8:03 - s
9,Logan Eldridge,123,18,14:35 - s,15,207 reps - s,63,155 reps - s,10,255 reps - s,17,7:54 - s
10,Kevin Eiker,142,64,16:10 - s,27,201 reps - s,21,23:57 - s,9,255 reps - s,21,8:00 - s
11,Justin Keller,146,13,14:06 - s,22,204 reps - s,48,167 reps - s,28,246 reps - s,35,8:23 - s
12,Matt Vaurs,185,114,17:16 - s,16,207 reps - s,2,16:08 - s,41,238 reps - s,12,7:45 - s
13,John Jenkins,189,2,12:23 - s,141,146 reps - s,23,204 reps - s,8,257 reps - s,15,7:50 - s
13,Jeff Cyr,189,64,16:10 - s,28,200 reps - s,32,191 reps - s,21,249 reps - s,44,8:39 - s
15,Pradeep Ramanathan,194,47,15:47 - s,41,180 reps - s,22,215 reps - s,16,251 reps - s,68,9:16 - s
16,Ralphie Martinez,206,52,15:52 - s,77,170 reps - s,33,191 reps - s,38,240 reps - s,6,7:27 - s
17,Noah Chica,209,10,13:55 - s,50,176 reps - s,82,143 reps - s,35,242 reps - s,32,8:19 - s
18,Leandro Quintal,210,5,12:54 - s,19,205 reps - s,155,117 reps - s,3,275 reps - s,28,8:15 - s
19,Johnny Bradford,230,63,16:09 - s,52,175 reps - s,54,166 reps - s,47,236 reps - s,14,7:46 - s
20,David Stevens,237,8,13:48 - s,23,204 reps - s,169,107 reps - s,33,243 reps - s,4,7:24 - s
21,Samuel Noble,249,37,15:20 - s,11,209 reps - s,11,20:57 - s,24,248 reps - s,166,10:54 - s
22,Ali Sanayei,260,36,15:18 - s,57,175 reps - s,72,154 reps - s,13,253 reps - s,82,9:32 - s
22,Christian Picone,260,49,15:49 - s,51,175 reps - s,69,154 reps - s,36,241 reps - s,55,9:04 - s
24,David Canepa,269,105,17:10 - s,40,180 reps - s,13,22:09 - s,27,246 reps - s,84,9:34 - s
25,Joel Ereg,284,152,17:56 - s,14,207 reps - s,46,174 reps - s,48,236 reps - s,24,8:01 - s
26,Larry Hillman,293,107,17:12 - s,26,201 reps - s,71,154 reps - s,43,237 reps - s,46,8:45 - s
27,Troy Seitz,295,62,16:08 - s,37,182 reps - s,102,141 reps - s,56,231 reps - s,38,8:29 - s
28,Paul Rogers,302,27,14:59 - s,80,168 reps - s,34,191 reps - s,74,225 reps - s,87,9:35 - s
29,Henry Valle,304,110,17:15 - s,109,159 reps - s,24,203 reps - s,53,233 reps - s,8,7:32 - s
30,Donald Maiden,329,22,14:45 - s,121,152 reps - s,29,191 reps - s,34,242 reps - s,123,10:07 - s
31,Joel Preciado,334,189,18:28 - s,73,170 reps - s,8,20:12 - s,46,236 reps - s,18,7:56 - s
32,Trever Meier,346,161,18:04 - s,96,163 reps - s,40,178 reps - s,12,253 reps - s,37,8:27 - s
33,Ryan McKnight,377,64,16:10 - s,36,185 reps - s,70,154 reps - s,143,210 reps - s,64,9:15 - s
34,Sean Uyehara,378,25,14:53 - s,61,173 reps - s,99,141 reps - s,92,220 reps - s,101,9:47 - s
35,Marco Gamboa,384,94,16:54 - s,93,164 reps - s,51,166 reps - s,66,228 reps - s,80,9:30 - s
36,Michael Westley,392,38,15:22 - s,85,166 reps - s,178,106 reps - s,32,244 reps - s,59,9:12 - s
37,Yashu Chaudhary,395,24,14:52 - s,65,171 reps - s,64,155 reps - s,150,209 reps - s,92,9:39 - s
38,Travis Jermain,400,48,15:48 - s,66,171 reps - s,68,154 reps - s,189,204 reps - s,29,8:17 - s
39,Steven Soto,402,19,14:36 - s,67,171 reps - s,287,92 reps - s,19,250 reps - s,10,7:39 - s
40,Kenny Dominguez,421,130,17:31 - s,125,149 reps - s,20,23:49 - s,82,222 reps - s,64,9:15 - s
41,Josh Niles-Dancy,437,102,17:09 - s,212,137 reps - s,66,154 reps - s,7,257 reps - s,50,8:52 - s
42,Brian Adams,440,53,15:53 - s,17,207 reps - s,79,144 reps - s,17,251 reps - s,274,12:38 - s
43,Jonathan de St Paer,446,23,14:46 - s,32,196 reps - s,136,129 reps - s,174,205 reps - s,81,9:31 - s
44,Tobias Hammon,450,212,18:42 - s,35,193 reps - s,123,131 reps - s,61,230 reps - s,19,7:58 - s
45,Kelly Underwood,460,264,19:24 - s,21,204 reps - s,3,16:42 - s,168,207 reps - s,4,7:24 - s
46,Travis Swafford,488,145,17:49 - s,281,125 reps - s,5,19:10 - s,26,246 reps - s,31,8:18 - s
47,John Bryce,495,100,17:07 - s,120,153 reps - s,111,137 reps - s,92,220 reps - s,72,9:19 - s
48,Cory Wong,502,125,17:29 - s,31,196 reps - s,116,133 reps - s,156,208 reps - s,74,9:24 - s
49,Michael Dearborn,505,69,16:15 - s,63,172 reps - s,162,117 reps - s,137,210 reps - s,74,9:24 - s
50,Gustavo Salas,508,80,16:36 - s,136,146 reps - s,118,132 reps - s,96,220 reps - s,78,9:29 - s
51,Jose Cong,528,98,17:04 - s,60,173 reps - s,235,96 reps - s,83,222 reps - s,52,9:01 - s
52,Nitin Mathur,532,179,18:17 - s,49,176 reps - s,74,154 reps - s,96,220 reps - s,134,10:18 - s
53,William Trovato,537,9,13:51 - s,132,146 reps - s,229,97 reps - s,116,215 reps - s,51,8:53 - s
54,Jaeduck Park,542,34,15:15 - s,20,204 reps - s,250,95 reps - s,155,208 reps - s,83,9:33 - s
55,Chris Madron,563,45,15:44 - s,55,175 reps - s,126,131 reps - s,111,216 reps - s,226,11:46 - s
56,John Touchette,583,142,17:45 - s,114,159 reps - s,217,103 reps - s,64,229 reps - s,46,8:45 - s
57,Franck Marchis,592,179,18:17 - s,81,168 reps - s,65,154 reps - s,172,206 reps - s,95,9:43 - s
58,Wayne Hung,599,197,18:33 - s,94,164 reps - s,60,156 reps - s,170,206 reps - s,78,9:29 - s
59,David Fahn,611,121,17:27 - s,139,146 reps - s,168,107 reps - s,142,210 reps - s,41,8:31 - s
60,B. Mitchell Houle,612,85,16:41 - s,82,168 reps - s,12,21:36 - s,259,196 reps - s,174,10:57 - s
61,Gary McCrea,614,230,18:59 - s,54,175 reps - s,26,203 reps - s,162,207 reps - s,142,10:24 - s
