Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Shannon McKibben,19,2,12:26 - s,2,230 reps - s,7,17:01 - s,5,285 reps - s,3,6:49 - s
2,Jason Woodward,65,1,10:32 - s,1,248 reps - s,38,203 reps - s,1,305 reps - s,24,7:58 - s
3,Justin Fisher,67,12,13:32 - s,6,217 reps - s,44,191 reps - s,3,291 reps - s,2,6:37 - s
4,Jacob Smart,95,21,13:52 - s,13,207 reps - s,29,23:46 - s,25,258 reps - s,7,7:09 - s
5,Corey Simser,132,103,16:30 - s,22,200 reps - s,2,15:35 - s,4,286 reps - s,1,6:16 - s
5,Tim Blackwell,132,19,13:46 - s,26,198 reps - s,40,192 reps - s,35,250 reps - s,12,7:38 - s
7,Jacob Noel,177,78,15:53 - s,11,210 reps - s,8,17:33 - s,23,260 reps - s,57,8:42 - s
8,Josh Smart,183,17,13:43 - s,41,192 reps - s,48,191 reps - s,59,241 reps - s,18,7:43 - s
9,Brandon Vollmer,189,34,14:58 - s,28,198 reps - s,41,191 reps - s,39,249 reps - s,47,8:33 - s
10,Luan Le,203,40,15:09 - s,44,188 reps - s,42,191 reps - s,6,280 reps - s,71,9:00 - s
11,Erik Loney,209,4,12:48 - s,40,192 reps - s,142,141 reps - s,7,275 reps - s,16,7:42 - s
12,Derek Barsness,222,30,14:46 - s,23,199 reps - s,45,191 reps - s,86,233 reps - s,38,8:28 - s
13,Mike Riddle,225,96,16:22 - s,38,195 reps - s,6,16:33 - s,53,245 reps - s,32,8:21 - s
14,Matt Niclai,238,186,17:40 - s,12,209 reps - s,1,14:46 - s,28,253 reps - s,11,7:34 - s
15,Richard Kirk,239,8,13:25 - s,3,226 reps - s,150,141 reps - s,17,261 reps - s,61,8:49 - s
16,David Eveland,253,24,14:15 - s,9,214 reps - s,113,143 reps - s,56,241 reps - s,51,8:36 - s
17,Jason Jorgensen,265,10,13:30 - s,45,187 reps - s,136,141 reps - s,36,250 reps - s,38,8:28 - s
18,Mike Kirkmire,267,63,15:40 - s,98,170 reps - s,58,179 reps - s,27,255 reps - s,21,7:49 - s
19,Matt Johnson,272,46,15:14 - s,49,186 reps - s,25,23:08 - s,127,220 reps - s,25,8:01 - s
20,Ronny Wilson,276,147,17:01 - s,32,196 reps - s,31,215 reps - s,30,253 reps - s,36,8:26 - s
21,Ryan Dirks,279,124,16:50 - s,98,170 reps - s,19,20:49 - s,8,275 reps - s,30,8:12 - s
22,Wade Barringer,293,166,17:24 - s,18,204 reps - s,46,191 reps - s,40,249 reps - s,23,7:57 - s
23,Dean Oswald,319,43,15:12 - s,21,201 reps - s,176,131 reps - s,29,253 reps - s,50,8:34 - s
23,Rohit Eustace,319,26,14:26 - s,92,170 reps - s,92,156 reps - s,52,245 reps - s,57,8:42 - s
25,Rocky Zepeda,320,171,17:27 - s,30,197 reps - s,10,18:07 - s,41,249 reps - s,68,8:59 - s
26,Lance Salisbury,325,76,15:50 - s,79,174 reps - s,59,179 reps - s,26,257 reps - s,85,9:09 - s
27,Carsten Giessmann,328,38,15:05 - s,62,177 reps - s,106,154 reps - s,24,259 reps - s,98,9:19 - s
28,Rob Brugger,334,6,12:53 - s,4,219 reps - s,314,96 reps - s,2,298 reps - s,8,7:17 - s
29,Michael Lindsay,341,44,15:13 - s,95,170 reps - s,13,19:26 - s,16,261 reps - s,173,10:16 - s
30,Matt Witwer,345,114,16:40 - s,173,150 reps - s,15,19:55 - s,14,263 reps - s,29,8:04 - s
31,Jack Brumbaugh,347,84,16:04 - s,36,196 reps - s,148,141 reps - s,64,240 reps - s,15,7:41 - s
32,Iradj Stroble,349,121,16:47 - s,57,179 reps - s,24,22:35 - s,73,238 reps - s,74,9:01 - s
33,Jim Quinto,353,94,16:19 - s,116,163 reps - s,84,166 reps - s,43,247 reps - s,16,7:42 - s
34,Jeff Christianson,369,16,13:40 - s,60,178 reps - s,227,117 reps - s,48,246 reps - s,18,7:43 - s
35,David Buchanan,377,151,17:03 - s,39,194 reps - s,2,15:35 - s,121,220 reps - s,64,8:54 - s
36,Matt Patterson,379,3,12:40 - s,19,203 reps - s,214,118 reps - s,33,250 reps - s,110,9:29 - s
37,Philip Walters,382,286,18:52 - s,59,178 reps - s,11,18:27 - s,12,265 reps - s,14,7:40 - s
37,Nick Skenzick,382,66,15:41 - s,48,186 reps - s,211,119 reps - s,19,261 reps - s,38,8:28 - s
39,Calvin Brown,393,29,14:45 - s,31,196 reps - s,119,143 reps - s,47,246 reps - s,167,10:11 - s
40,Joshua Miller,410,56,15:27 - s,119,162 reps - s,21,21:49 - s,106,225 reps - s,108,9:28 - s
41,Aaron Smith,425,75,15:49 - s,47,187 reps - s,192,130 reps - s,67,240 reps - s,44,8:31 - s
42,Patrick Elmore,433,105,16:31 - s,246,139 reps - s,37,203 reps - s,20,260 reps - s,25,8:01 - s
43,Jon Small,440,54,15:26 - s,324,125 reps - s,36,203 reps - s,22,260 reps - s,4,7:03 - s
44,Chris Manuel,441,68,15:43 - s,27,198 reps - s,57,191 reps - s,194,210 reps - s,95,9:13 - s
45,Ryan Davenport,455,130,16:54 - s,98,170 reps - s,64,179 reps - s,101,227 reps - s,62,8:51 - s
46,Anthony Ghazel,456,12,13:32 - s,5,218 reps - s,425,81 reps - s,10,267 reps - s,4,7:03 - s
47,Chris Drape,468,17,13:43 - s,83,172 reps - s,215,118 reps - s,87,232 reps - s,66,8:56 - s
48,Doug Randels,472,20,13:50 - s,56,180 reps - s,152,141 reps - s,202,209 reps - s,42,8:29 - s
49,Isaac Peterson,478,149,17:02 - s,163,152 reps - s,84,166 reps - s,61,240 reps - s,21,7:49 - s
50,Ryan Bandy,498,27,14:34 - s,7,216 reps - s,341,94 reps - s,76,237 reps - s,47,8:33 - s
51,Brian Sciera,500,63,15:40 - s,46,187 reps - s,197,129 reps - s,55,242 reps - s,139,9:52 - s
52,Marc Greninger,505,56,15:27 - s,86,171 reps - s,153,141 reps - s,139,218 reps - s,71,9:00 - s
53,Steve Straus,522,5,12:52 - s,16,204 reps - s,436,80 reps - s,38,250 reps - s,27,8:02 - s
54,Travis Jordan,531,99,16:24 - s,141,158 reps - s,26,23:15 - s,127,220 reps - s,138,9:51 - s
55,Kurt Tamashiro,533,248,18:26 - s,63,177 reps - s,75,174 reps - s,81,234 reps - s,66,8:56 - s
56,Brad Rogers,538,100,16:25 - s,77,175 reps - s,102,154 reps - s,168,213 reps - s,91,9:11 - s
57,Cory Wetzsteon,543,22,14:11 - s,153,155 reps - s,246,106 reps - s,45,247 reps - s,77,9:03 - s
58,Rob Swallow,546,171,17:27 - s,17,204 reps - s,112,150 reps - s,104,226 reps - s,142,9:55 - s
58,Baruch Souphanavong,546,117,16:43 - s,24,199 reps - s,159,136 reps - s,89,232 reps - s,157,10:03 - s
60,Darin Ault,549,116,16:42 - s,73,175 reps - s,139,141 reps - s,162,214 reps - s,59,8:47 - s
61,Collin Lawrence,553,25,14:17 - s,29,197 reps - s,369,93 reps - s,75,238 reps - s,55,8:41 - s
62,Jim Cusimano,564,156,17:12 - s,115,163 reps - s,151,141 reps - s,71,239 reps - s,71,9:00 - s
63,Michael Hernandez,571,163,17:21 - s,147,156 reps - s,128,142 reps - s,82,234 reps - s,51,8:36 - s
64,Rick Bienapfl,588,124,16:50 - s,218,142 reps - s,43,191 reps - s,69,239 reps - s,134,9:49 - s
65,Pat Alconcel,597,44,15:13 - s,227,141 reps - s,218,118 reps - s,31,253 reps - s,77,9:03 - s
66,Shaun Allumbaugh,604,58,15:29 - s,139,158 reps - s,102,154 reps - s,179,212 reps - s,126,9:46 - s
67,Donny Ordes,623,52,15:25 - s,194,146 reps - s,263,105 reps - s,77,237 reps - s,37,8:27 - s
68,Paul Hemenway,628,109,16:33 - s,191,146 reps - s,56,191 reps - s,130,220 reps - s,142,9:55 - s
69,Terry Jones,633,191,17:43 - s,51,184 reps - s,88,166 reps - s,172,212 reps - s,131,9:47 - s
69,Brent Bond,633,213,17:57 - s,53,181 reps - s,104,154 reps - s,57,241 reps - s,206,10:47 - s
71,Joe Cepeda,636,250,18:27 - s,118,163 reps - s,134,142 reps - s,74,238 reps - s,60,8:48 - s
72,Ernesto Ventura,643,91,16:15 - s,145,157 reps - s,220,118 reps - s,72,239 reps - s,115,9:33 - s
73,Jon Walker,656,243,18:24 - s,65,177 reps - s,222,117 reps - s,44,247 reps - s,82,9:06 - s
74,Won Choi,657,54,15:26 - s,106,167 reps - s,266,105 reps - s,218,207 reps - s,13,7:39 - s
