Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Adam McMahen,81,35,14:16 - s,12,219 reps - s,6,15:18 - s,20,271 reps - s,8,6:51 - s
2,Alfredo Loredo,85,37,14:20 - s,14,217 reps - s,3,13:36 - s,30,264 reps - s,1,6:18 - s
3,Garrett Braley,117,83,15:27 - s,19,213 reps - s,1,8:55 - s,11,275 reps - s,3,6:20 - s
4,Jacob Flores,133,7,12:44 - s,10,222 reps - s,97,191 reps - s,5,282 reps - s,14,7:11 - s
5,Jasun Harmon,138,60,15:08 - s,21,212 reps - s,8,16:03 - s,45,255 reps - s,4,6:24 - s
6,Michael Troy,163,18,13:40 - s,5,230 reps - s,93,191 reps - s,2,290 reps - s,45,7:51 - s
7,Jeff McDaniel,174,27,13:57 - s,33,208 reps - s,67,215 reps - s,25,266 reps - s,22,7:26 - s
8,Brian Carter,182,49,14:44 - s,30,209 reps - s,25,19:49 - s,56,251 reps - s,22,7:26 - s
9,James Martinez,185,51,14:51 - s,16,214 reps - s,21,19:20 - s,4,286 reps - s,93,8:32 - s
10,Juaquin Galvan,191,29,13:59 - s,8,224 reps - s,98,191 reps - s,40,257 reps - s,16,7:16 - s
11,Tom Scoggin,206,7,12:44 - s,108,180 reps - s,5,14:39 - s,75,246 reps - s,11,6:59 - s
12,Erbei Uranga Jr,232,64,15:09 - s,40,204 reps - s,2,13:26 - s,65,248 reps - s,61,8:11 - s
13,Keven Fite,245,4,12:22 - s,6,227 reps - s,177,166 reps - s,46,254 reps - s,12,7:02 - s
14,Lincoln Golike,246,19,13:41 - s,11,219 reps - s,179,166 reps - s,18,274 reps - s,19,7:22 - s
15,Kirk Byrd,259,97,15:45 - s,73,190 reps - s,23,19:26 - s,53,251 reps - s,13,7:07 - s
16,Jared Krenek,285,96,15:42 - s,65,194 reps - s,26,19:52 - s,35,259 reps - s,63,8:13 - s
17,Stephen Nance,290,60,15:08 - s,29,209 reps - s,109,191 reps - s,61,250 reps - s,31,7:36 - s
18,James Braddock,295,1,10:58 - s,15,215 reps - s,245,143 reps - s,3,290 reps - s,31,7:36 - s
19,Blake Chilton,298,23,13:49 - s,13,218 reps - s,221,154 reps - s,14,275 reps - s,27,7:35 - s
20,Jason Richardson,320,14,13:20 - s,45,202 reps - s,162,178 reps - s,41,257 reps - s,58,8:07 - s
20,Josh Gentry,320,59,15:05 - s,22,210 reps - s,134,179 reps - s,67,248 reps - s,38,7:42 - s
22,Chris Asta,332,24,13:51 - s,115,178 reps - s,84,203 reps - s,70,248 reps - s,39,7:43 - s
23,Michael Jacobsen,337,38,14:22 - s,77,189 reps - s,16,18:25 - s,58,250 reps - s,148,9:06 - s
24,Jonathan Huth,341,142,16:22 - s,28,209 reps - s,24,19:28 - s,69,248 reps - s,78,8:23 - s
25,Todd Greene,348,10,12:47 - s,71,190 reps - s,207,155 reps - s,13,275 reps - s,47,7:52 - s
26,Kevin Keenan,367,57,15:00 - s,3,235 reps - s,295,142 reps - s,10,276 reps - s,2,6:19 - s
27,Daniel Lopez,387,50,14:45 - s,40,204 reps - s,110,191 reps - s,97,243 reps - s,90,8:30 - s
28,Joe Segura,391,91,15:34 - s,52,199 reps - s,161,178 reps - s,12,275 reps - s,75,8:21 - s
29,Jarrad Mcleod,407,192,16:47 - s,39,204 reps - s,22,19:22 - s,120,240 reps - s,34,7:37 - s
30,Anthony Peebles,409,125,16:16 - s,172,171 reps - s,51,22:35 - s,34,260 reps - s,27,7:35 - s
31,Jefferies Tatford,419,113,16:03 - s,193,170 reps - s,41,21:39 - s,33,262 reps - s,39,7:43 - s
32,Scott Ibanez,433,38,14:22 - s,156,174 reps - s,178,166 reps - s,24,266 reps - s,37,7:41 - s
