Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Erminio Iantosca,17,6,12:44 - s,4,243 reps - s,2,15:40 - s,3,295 reps - s,2,6:22 - s
2,Marc Podkowik,27,1,11:05 - s,2,259 reps - s,22,20:14 - s,1,314 reps - s,1,6:12 - s
3,Filippo Tavazzani,62,8,12:53 - s,3,251 reps - s,13,17:49 - s,24,265 reps - s,14,7:17 - s
4,Charles Klein,88,18,13:52 - s,9,231 reps - s,10,17:07 - s,8,276 reps - s,43,7:58 - s
5,Cody Payton,91,25,14:06 - s,43,204 reps - s,4,16:05 - s,15,273 reps - s,4,6:39 - s
6,Carmen Dorso,141,32,14:20 - s,41,204 reps - s,25,20:46 - s,4,290 reps - s,39,7:55 - s
7,Matthew Cole,198,24,14:03 - s,13,220 reps - s,69,203 reps - s,28,264 reps - s,64,8:21 - s
8,Jack Childress,206,57,15:09 - s,29,212 reps - s,83,191 reps - s,22,266 reps - s,15,7:22 - s
9,Hugo Pacanins,213,53,14:59 - s,42,204 reps - s,66,203 reps - s,35,262 reps - s,17,7:25 - s
10,Lance Herndon,214,30,14:14 - s,57,199 reps - s,81,191 reps - s,9,275 reps - s,37,7:54 - s
11,Chris Wakefield,255,62,15:20 - s,36,207 reps - s,95,191 reps - s,37,261 reps - s,25,7:39 - s
12,Bill Gaston,269,32,14:20 - s,19,217 reps - s,78,191 reps - s,127,240 reps - s,13,7:16 - s
13,Mike Kelty,278,110,16:05 - s,43,204 reps - s,52,23:46 - s,12,275 reps - s,61,8:20 - s
14,Gregg Green,279,2,11:30 - s,75,191 reps - s,149,167 reps - s,6,283 reps - s,47,8:06 - s
15,Jason Reynolds,281,50,14:55 - s,19,217 reps - s,196,154 reps - s,10,275 reps - s,6,7:02 - s
16,Francesco Travascio,283,14,13:28 - s,8,236 reps - s,186,154 reps - s,65,250 reps - s,10,7:10 - s
17,Max Conniff,294,113,16:07 - s,26,214 reps - s,103,191 reps - s,30,263 reps - s,22,7:38 - s
18,Andrew Zucker,296,3,11:54 - s,7,238 reps - s,77,191 reps - s,39,257 reps - s,170,9:18 - s
19,Jason Strickland,305,71,15:32 - s,99,184 reps - s,59,215 reps - s,16,273 reps - s,60,8:19 - s
20,Michael Mellen,321,43,14:47 - s,6,242 reps - s,80,191 reps - s,52,252 reps - s,140,9:02 - s
21,Carlitos Rodriguez,335,147,16:31 - s,30,211 reps - s,103,191 reps - s,48,253 reps - s,7,7:05 - s
22,Justin Fisher,348,88,15:47 - s,121,178 reps - s,29,21:32 - s,40,256 reps - s,70,8:28 - s
23,Kinzie Wright,349,11,13:18 - s,51,202 reps - s,200,154 reps - s,17,272 reps - s,70,8:28 - s
24,Lee McCarthy,355,309,17:53 - s,27,213 reps - s,5,16:09 - s,7,278 reps - s,7,7:05 - s
25,Leonard Simmons,374,42,14:46 - s,21,216 reps - s,235,142 reps - s,34,262 reps - s,42,7:56 - s
26,Scott Lennertz,388,35,14:26 - s,31,209 reps - s,188,154 reps - s,105,243 reps - s,29,7:44 - s
27,David Watts,389,7,12:49 - s,78,190 reps - s,98,191 reps - s,155,236 reps - s,51,8:13 - s
28,Daniel Salas,401,118,16:09 - s,161,172 reps - s,16,18:40 - s,71,248 reps - s,35,7:51 - s
29,Glenn Germaine,453,202,17:03 - s,98,184 reps - s,94,191 reps - s,32,262 reps - s,27,7:43 - s
29,James Almeida,453,110,16:05 - s,107,180 reps - s,120,178 reps - s,33,262 reps - s,83,8:32 - s
31,Branigan Mincey,480,40,14:41 - s,207,169 reps - s,28,21:28 - s,183,232 reps - s,22,7:38 - s
31,Tim Godby,480,31,14:17 - s,60,196 reps - s,110,179 reps - s,107,242 reps - s,172,9:19 - s
33,Mike Gaither,485,85,15:45 - s,69,194 reps - s,190,154 reps - s,92,245 reps - s,49,8:11 - s
34,Greg Abee,497,113,16:07 - s,74,192 reps - s,158,166 reps - s,136,238 reps - s,16,7:24 - s
35,Vaughn VanAmburg,508,216,17:09 - s,158,173 reps - s,51,23:42 - s,14,275 reps - s,69,8:27 - s
36,Pratt Reed,513,60,15:18 - s,43,204 reps - s,86,191 reps - s,203,228 reps - s,121,8:52 - s
36,Mack Herrin,513,184,16:52 - s,43,204 reps - s,139,167 reps - s,72,248 reps - s,75,8:29 - s
38,Daniel Snow,522,73,15:33 - s,193,170 reps - s,93,191 reps - s,60,251 reps - s,103,8:42 - s
39,Iliya Beylin,536,17,13:50 - s,101,181 reps - s,310,132 reps - s,2,298 reps - s,106,8:45 - s
