Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Ziad Elfeki,14,1,10:35 - s,1,280 reps - s,7,15:45 - s,1,305 reps - s,4,6:25 - s
2,Fatih Balta,18,2,10:48 - s,2,274 reps - s,8,16:03 - s,4,290 reps - s,2,5:55 - s
3,Ege Olgun,29,8,12:17 - s,5,237 reps - s,3,15:06 - s,10,271 reps - s,3,6:08 - s
4,Benjamin Coetsee,34,3,11:08 - s,9,226 reps - s,19,22:22 - s,2,303 reps - s,1,5:50 - s
5,Malherbe van Heerden,35,12,12:53 - s,6,231 reps - s,4,15:08 - s,3,299 reps - s,10,7:26 - s
6,Hassan Balbaa,59,27,13:48 - s,3,242 reps - s,6,15:33 - s,17,261 reps - s,6,7:18 - s
7,Majd Qaddoura,73,20,13:20 - s,8,228 reps - s,11,16:57 - s,15,264 reps - s,19,7:45 - s
8,Eric Dagard,84,6,11:57 - s,12,222 reps - s,16,21:47 - s,39,248 reps - s,11,7:29 - s
9,Ray Dona,86,27,13:48 - s,19,214 reps - s,1,13:09 - s,14,264 reps - s,25,8:02 - s
10,Christo Du Plessis,116,34,14:02 - s,17,215 reps - s,25,23:33 - s,13,265 reps - s,27,8:03 - s
11,Kamil Metin,133,7,12:14 - s,3,242 reps - s,92,154 reps - s,7,278 reps - s,24,7:59 - s
12,Jochemus Prinsloo,137,10,12:40 - s,7,228 reps - s,39,191 reps - s,53,242 reps - s,28,8:05 - s
13,Yusuf Adal,151,79,15:22 - s,38,201 reps - s,10,16:31 - s,11,270 reps - s,13,7:33 - s
14,smail Onur Parlak,173,98,15:43 - s,34,204 reps - s,2,13:22 - s,24,252 reps - s,15,7:38 - s
15,Tarek Jabi,186,40,14:11 - s,96,171 reps - s,21,22:49 - s,8,275 reps - s,21,7:52 - s
16,Mazen Shahin,194,23,13:40 - s,86,174 reps - s,20,22:39 - s,48,245 reps - s,17,7:40 - s
17,Andrew Savage,203,4,11:13 - s,29,207 reps - s,36,191 reps - s,127,221 reps - s,7,7:21 - s
18,Kobus Barnard,205,32,13:58 - s,51,195 reps - s,12,18:42 - s,81,236 reps - s,29,8:07 - s
19,Halil Bal,206,71,15:18 - s,23,211 reps - s,55,178 reps - s,25,252 reps - s,32,8:14 - s
20,Hani Hoyek,207,11,12:48 - s,18,215 reps - s,73,155 reps - s,20,258 reps - s,85,9:18 - s
21,Michel Gaulin,212,15,13:02 - s,24,210 reps - s,77,154 reps - s,41,247 reps - s,55,8:49 - s
22,David Tzruya,213,33,14:00 - s,20,214 reps - s,54,179 reps - s,61,240 reps - s,45,8:31 - s
23,Gideon Botha,230,46,14:22 - s,45,196 reps - s,111,141 reps - s,21,255 reps - s,7,7:21 - s
23,Michel Barakat,230,54,14:44 - s,32,205 reps - s,40,191 reps - s,46,245 reps - s,58,8:53 - s
25,Rob Watts,232,26,13:45 - s,54,193 reps - s,69,166 reps - s,72,239 reps - s,11,7:29 - s
26,Khaled Gamal,236,61,14:56 - s,16,217 reps - s,14,21:11 - s,84,235 reps - s,61,8:55 - s
27,Johan Kurtz,237,19,13:19 - s,26,209 reps - s,115,141 reps - s,34,250 reps - s,43,8:30 - s
28,Abdullah Sadoun,244,53,14:40 - s,30,207 reps - s,26,23:48 - s,30,251 reps - s,105,9:37 - s
29,Berkay Toprak,253,123,16:11 - s,86,174 reps - s,23,23:08 - s,16,262 reps - s,5,7:11 - s
30,Sercan Sengul,256,37,14:10 - s,72,176 reps - s,80,154 reps - s,32,250 reps - s,35,8:17 - s
31,Calla Meyer,259,67,15:12 - s,31,205 reps - s,117,141 reps - s,35,249 reps - s,9,7:22 - s
32,Thane Archer,260,79,15:22 - s,95,171 reps - s,61,168 reps - s,6,281 reps - s,19,7:45 - s
33,Dima Lichkovskiy,265,34,14:02 - s,21,213 reps - s,62,168 reps - s,85,235 reps - s,63,8:56 - s
34,Tolga Tepecik,274,115,16:05 - s,27,209 reps - s,66,166 reps - s,9,272 reps - s,57,8:52 - s
35,Mikhail Schwarz,288,25,13:44 - s,58,184 reps - s,70,166 reps - s,59,240 reps - s,76,9:11 - s
