Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Evgeniy Kuznetsov,14,1,9:45 - s,2,282 reps - s,4,11:52 - s,6,292 reps - s,1,5:11 - s
2,Evgeniy Zhuravlev,25,9,11:36 - s,9,249 reps - s,1,10:18 - s,2,311 reps - s,4,5:56 - s
3,Nikolay Nagornykh,31,6,11:16 - s,3,278 reps - s,2,10:25 - s,3,303 reps - s,17,6:34 - s
4,SeongHun Park,32,11,12:03 - s,1,291 reps - s,6,13:40 - s,10,284 reps - s,4,5:56 - s
5,Evgeniy Shelestov,39,8,11:33 - s,4,268 reps - s,12,18:45 - s,7,288 reps - s,8,6:07 - s
6,Geon Woo Park,60,2,10:10 - s,11,240 reps - s,24,21:08 - s,8,286 reps - s,15,6:31 - s
7,Dmitriy Safonov,66,3,11:00 - s,6,260 reps - s,32,22:59 - s,4,302 reps - s,21,6:38 - s
8,Bok Tae Heon,70,37,13:57 - s,8,254 reps - s,3,11:26 - s,13,280 reps - s,9,6:19 - s
9,O Huck Jang,82,13,12:38 - s,12,238 reps - s,45,191 reps - s,9,285 reps - s,3,5:51 - s
9,Jungnam Kim,82,7,11:26 - s,10,243 reps - s,40,203 reps - s,14,279 reps - s,11,6:27 - s
11,Nikita Shiryaev,106,16,12:49 - s,13,238 reps - s,5,12:37 - s,16,274 reps - s,56,7:31 - s
12,Kim Man Suk,120,41,14:07 - s,23,217 reps - s,31,22:53 - s,12,283 reps - s,13,6:29 - s
13,Aldwill Go,121,49,14:14 - s,18,230 reps - s,9,16:15 - s,39,255 reps - s,6,6:03 - s
14,Jaemyung Park,164,15,12:45 - s,14,237 reps - s,53,191 reps - s,20,268 reps - s,62,7:38 - s
15,Roman Asanov,166,25,13:27 - s,7,256 reps - s,81,166 reps - s,29,260 reps - s,24,6:45 - s
16,Adem Yilmaz,173,72,14:44 - s,34,211 reps - s,27,21:17 - s,28,260 reps - s,12,6:28 - s
17,Evgeniy Sidorov,175,5,11:14 - s,28,214 reps - s,80,166 reps - s,22,267 reps - s,40,7:09 - s
18,Kevin Leynes,182,75,14:47 - s,36,210 reps - s,17,19:46 - s,11,283 reps - s,43,7:12 - s
19,Choi Sangjin,183,19,12:51 - s,20,223 reps - s,103,154 reps - s,18,271 reps - s,23,6:43 - s
20,MinJae Lim,192,56,14:25 - s,51,204 reps - s,21,20:22 - s,36,255 reps - s,28,6:48 - s
21,Jin Hyok Choun,202,21,13:07 - s,30,212 reps - s,111,154 reps - s,15,276 reps - s,25,6:46 - s
22,Duseong Kim,206,16,12:49 - s,17,230 reps - s,99,155 reps - s,34,256 reps - s,40,7:09 - s
23,Alexey Nazarenko,214,4,11:09 - s,19,226 reps - s,98,155 reps - s,54,250 reps - s,39,7:08 - s
24,Ming Liang Wang,216,29,13:34 - s,21,220 reps - s,100,154 reps - s,33,257 reps - s,33,6:59 - s
25,Dae Hyup Kang,237,41,14:07 - s,63,196 reps - s,8,15:43 - s,51,250 reps - s,74,8:03 - s
26,Olzhas Sultanbekov,239,78,14:52 - s,24,217 reps - s,55,191 reps - s,72,246 reps - s,10,6:25 - s
27,toshiaki nishizawa,249,100,15:20 - s,25,216 reps - s,70,168 reps - s,37,255 reps - s,17,6:34 - s
28,Kang Sunhee,250,115,15:30 - s,26,214 reps - s,41,203 reps - s,38,255 reps - s,30,6:51 - s
29,Jongpil Lim,251,54,14:22 - s,39,208 reps - s,82,166 reps - s,50,250 reps - s,26,6:47 - s
30,DaeSeong Jung,258,115,15:30 - s,53,203 reps - s,47,191 reps - s,24,264 reps - s,19,6:35 - s
31,Keechul Nam,288,64,14:34 - s,33,211 reps - s,18,19:53 - s,126,228 reps - s,47,7:19 - s
32,Chang-min Oh,335,112,15:29 - s,57,198 reps - s,104,154 reps - s,42,253 reps - s,20,6:36 - s
33,Glen Koh,348,12,12:35 - s,44,205 reps - s,223,117 reps - s,26,261 reps - s,43,7:12 - s
34,Dmitry Vershinin,350,60,14:30 - s,51,204 reps - s,10,16:42 - s,87,240 reps - s,142,9:02 - s
35,Jing Huang,356,67,14:40 - s,156,170 reps - s,63,178 reps - s,35,256 reps - s,35,7:03 - s
36,Bae Jun,363,81,14:55 - s,40,207 reps - s,116,154 reps - s,67,247 reps - s,59,7:35 - s
37,Heo Yongjun,367,106,15:25 - s,61,196 reps - s,74,167 reps - s,88,239 reps - s,38,7:05 - s
38,Bo kyun Kim,394,152,15:56 - s,73,190 reps - s,51,191 reps - s,71,246 reps - s,47,7:19 - s
39,Denis Pudov,395,33,13:47 - s,42,207 reps - s,139,141 reps - s,68,247 reps - s,113,8:42 - s
40,Jin hong Kim,399,64,14:34 - s,72,190 reps - s,58,178 reps - s,183,216 reps - s,22,6:41 - s
41,Paolo de Castro,406,36,13:53 - s,45,205 reps - s,46,191 reps - s,196,214 reps - s,83,8:11 - s
42,Dmitry Sirazhiev,417,72,14:44 - s,74,190 reps - s,110,154 reps - s,32,257 reps - s,129,8:54 - s
43,Kim Youngkwan,419,43,14:08 - s,206,158 reps - s,89,166 reps - s,52,250 reps - s,29,6:50 - s
