Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Keegan Morch,20,1,12:32 - s,1,263 reps - s,3,17:05 - s,9,268 reps - s,6,7:13 - s
2,Yanick Mongeau,46,2,12:50 - s,3,240 reps - s,30,191 reps - s,2,286 reps - s,9,7:19 - s
3,Julien Laramee,92,4,12:54 - s,2,258 reps - s,62,154 reps - s,11,265 reps - s,13,7:36 - s
4,Mitch Stewart,96,5,13:02 - s,9,214 reps - s,29,191 reps - s,26,251 reps - s,27,8:03 - s
5,Jason Bernard,110,38,14:56 - s,14,205 reps - s,24,203 reps - s,17,255 reps - s,17,7:53 - s
6,Matt Charles,114,10,13:43 - s,5,222 reps - s,52,166 reps - s,45,244 reps - s,2,7:00 - s
7,David Hardy,117,48,15:14 - s,53,175 reps - s,2,16:01 - s,6,275 reps - s,8,7:14 - s
8,Jonathan Gray,151,13,14:07 - s,57,175 reps - s,11,22:10 - s,66,237 reps - s,4,7:06 - s
9,Mathieu Trudelle,169,35,14:49 - s,32,191 reps - s,50,167 reps - s,15,257 reps - s,37,8:22 - s
10,Mathieu Ferguson Dufour,190,94,16:20 - s,57,175 reps - s,5,17:55 - s,20,253 reps - s,14,7:40 - s
11,Xavier Girard,197,136,16:54 - s,11,209 reps - s,18,215 reps - s,21,252 reps - s,11,7:28 - s
12,James Wilbee,202,12,13:55 - s,8,217 reps - s,134,131 reps - s,43,245 reps - s,5,7:11 - s
13,Steve Desforges,218,100,16:26 - s,17,204 reps - s,13,22:37 - s,54,241 reps - s,34,8:16 - s
14,Al Gauld,231,9,13:31 - s,122,158 reps - s,67,154 reps - s,3,285 reps - s,30,8:05 - s
15,Simon Verrucci,232,71,15:50 - s,80,170 reps - s,6,20:20 - s,23,252 reps - s,52,8:38 - s
16,Joel Gagne,241,6,13:08 - s,23,200 reps - s,145,130 reps - s,22,252 reps - s,45,8:29 - s
16,Owen Bourrie,241,81,16:01 - s,19,203 reps - s,41,180 reps - s,58,240 reps - s,42,8:26 - s
18,Bruce Anderson,255,42,15:05 - s,19,203 reps - s,77,143 reps - s,89,229 reps - s,28,8:04 - s
19,Mario Henrie,259,150,17:03 - s,15,204 reps - s,20,209 reps - s,27,251 reps - s,47,8:32 - s
20,Todd Norman,260,68,15:42 - s,69,172 reps - s,7,21:03 - s,115,220 reps - s,1,6:39 - s
21,Francois Paquet,267,67,15:40 - s,67,172 reps - s,73,143 reps - s,41,246 reps - s,19,7:54 - s
21,Dominic Tremblay,267,134,16:53 - s,33,191 reps - s,39,191 reps - s,35,248 reps - s,26,8:02 - s
23,Joe McGurk,272,82,16:03 - s,12,208 reps - s,1,14:51 - s,146,214 reps - s,31,8:13 - s
24,Laurent Lebouthillier,284,8,13:15 - s,119,161 reps - s,22,203 reps - s,30,250 reps - s,105,9:30 - s
25,Erick Mauricio,286,11,13:50 - s,25,198 reps - s,175,119 reps - s,4,279 reps - s,71,9:00 - s
26,Antoine Laurier,290,47,15:13 - s,13,207 reps - s,33,191 reps - s,129,218 reps - s,68,8:54 - s
27,Everest Rymer,300,112,16:39 - s,30,195 reps - s,16,23:37 - s,123,219 reps - s,19,7:54 - s
28,Paul Finkelstein,324,7,13:09 - s,60,174 reps - s,172,120 reps - s,53,241 reps - s,32,8:14 - s
29,Jon DeBruyn,325,84,16:12 - s,46,178 reps - s,136,131 reps - s,19,253 reps - s,40,8:24 - s
30,Stuart Moulding,326,45,15:07 - s,66,173 reps - s,37,191 reps - s,40,246 reps - s,138,9:56 - s
31,Chris Schnarr,335,52,15:21 - s,50,175 reps - s,118,141 reps - s,65,238 reps - s,50,8:36 - s
32,Pierre-Louis Houle,338,59,15:29 - s,68,172 reps - s,21,206 reps - s,138,216 reps - s,52,8:38 - s
33,Danny Martin,346,87,16:15 - s,15,204 reps - s,179,119 reps - s,8,270 reps - s,57,8:41 - s
34,Hany Tawil,349,51,15:19 - s,105,164 reps - s,150,130 reps - s,33,249 reps - s,10,7:25 - s
