Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Ryan Robin,15,1,11:59 - s,7,217 reps - s,4,18:43 - s,1,306 reps - s,2,6:32 - s
2,Justin Wiens,18,11,14:00 - s,1,242 reps - s,1,15:16 - s,2,292 reps - s,3,6:36 - s
3,Desi McEwan,37,19,14:34 - s,2,240 reps - s,2,16:25 - s,3,276 reps - s,11,7:42 - s
4,Tom Knight,57,3,12:58 - s,3,234 reps - s,31,191 reps - s,11,252 reps - s,9,7:29 - s
5,Tyler Frost,62,2,12:43 - s,16,206 reps - s,27,203 reps - s,10,253 reps - s,7,7:18 - s
6,Glenn Pawlikowski,70,20,14:37 - s,4,224 reps - s,30,191 reps - s,4,275 reps - s,12,7:46 - s
7,Garrett Evans,72,7,13:51 - s,20,193 reps - s,7,20:47 - s,19,245 reps - s,19,8:03 - s
8,Tristan Kennedy,73,14,14:19 - s,10,214 reps - s,26,203 reps - s,13,250 reps - s,10,7:35 - s
9,Mark VanDerVeen,77,5,13:16 - s,6,221 reps - s,50,167 reps - s,8,257 reps - s,8,7:20 - s
10,Joshua Sangster,113,6,13:40 - s,8,216 reps - s,21,23:54 - s,74,217 reps - s,4,6:44 - s
11,Jan Manuel,124,9,13:53 - s,11,209 reps - s,5,19:28 - s,85,215 reps - s,14,7:52 - s
12,Jean-Philippe Fortier,134,21,14:38 - s,12,209 reps - s,66,141 reps - s,14,250 reps - s,21,8:06 - s
13,Joe Swift,148,63,16:40 - s,17,203 reps - s,12,22:05 - s,33,233 reps - s,23,8:07 - s
14,Jesse Foreman,158,4,13:09 - s,35,174 reps - s,33,191 reps - s,12,252 reps - s,74,9:45 - s
15,Todd Horn,187,33,15:26 - s,31,176 reps - s,40,179 reps - s,57,224 reps - s,26,8:12 - s
16,Tim Bedard,204,50,16:11 - s,53,163 reps - s,15,22:37 - s,29,237 reps - s,57,9:24 - s
16,Tibor Korbely,204,90,17:14 - s,32,176 reps - s,16,23:07 - s,30,237 reps - s,36,8:44 - s
18,Ali Mehrassa,206,16,14:20 - s,13,208 reps - s,112,117 reps - s,18,245 reps - s,47,9:05 - s
19,Jeff Young,214,22,14:40 - s,57,162 reps - s,61,143 reps - s,31,237 reps - s,43,8:54 - s
20,Andy Wiebe,219,66,16:43 - s,76,150 reps - s,37,191 reps - s,39,231 reps - s,1,6:10 - s
21,Britt Andersen,220,36,15:31 - s,14,208 reps - s,106,118 reps - s,49,228 reps - s,15,7:57 - s
22,Mike Mousseau,239,17,14:21 - s,36,172 reps - s,58,154 reps - s,112,207 reps - s,16,7:59 - s
23,Steven Fitzsimons,246,28,15:04 - s,29,176 reps - s,95,129 reps - s,46,230 reps - s,48,9:07 - s
24,Will Hickey,264,35,15:28 - s,113,138 reps - s,42,178 reps - s,25,240 reps - s,49,9:08 - s
25,Shaun O'Brian,280,60,16:33 - s,37,172 reps - s,92,130 reps - s,51,227 reps - s,40,8:46 - s
26,Joseph Choi,283,97,17:21 - s,66,158 reps - s,49,167 reps - s,20,243 reps - s,51,9:15 - s
27,Martin Montminy,288,25,14:50 - s,99,141 reps - s,62,142 reps - s,47,229 reps - s,55,9:21 - s
28,Grant Sullivan,289,153,18:36 - s,64,161 reps - s,45,168 reps - s,15,250 reps - s,12,7:46 - s
29,Randy J. Montano,291,78,16:59 - s,122,136 reps - s,23,215 reps - s,17,245 reps - s,51,9:15 - s
30,Cameron Kusch,302,62,16:39 - s,23,186 reps - s,103,119 reps - s,75,217 reps - s,39,8:45 - s
31,Jose Estrada,306,173,18:57 - s,43,170 reps - s,28,203 reps - s,45,230 reps - s,17,8:01 - s
32,Robin Dutton,314,42,15:54 - s,28,177 reps - s,111,118 reps - s,24,240 reps - s,109,10:28 - s
33,Ian Sherbaniuk,316,83,17:05 - s,50,165 reps - s,11,21:39 - s,144,201 reps - s,28,8:17 - s
34,Tim Lewis,319,32,15:25 - s,26,180 reps - s,130,105 reps - s,50,228 reps - s,81,9:48 - s
35,Gustavo Ardebol,320,42,15:54 - s,45,169 reps - s,82,131 reps - s,128,205 reps - s,23,8:07 - s
36,Damien Lane,326,97,17:21 - s,62,162 reps - s,20,23:52 - s,106,209 reps - s,41,8:53 - s
37,Ryan Smith,330,65,16:41 - s,51,165 reps - s,125,106 reps - s,43,230 reps - s,46,9:00 - s
38,Ryan Linskill,349,30,15:11 - s,92,142 reps - s,53,166 reps - s,97,211 reps - s,77,9:47 - s
39,Jimmy Sheasgreen,355,45,15:55 - s,81,146 reps - s,87,130 reps - s,111,207 reps - s,31,8:22 - s
40,Chris Perez,362,45,15:55 - s,83,144 reps - s,77,131 reps - s,56,224 reps - s,101,10:13 - s
41,Curtis Hess,363,48,16:05 - s,82,146 reps - s,83,131 reps - s,79,217 reps - s,71,9:42 - s
42,Cameron Zinger,387,52,16:19 - s,79,149 reps - s,122,106 reps - s,64,220 reps - s,70,9:41 - s
43,Dave McCloskey,388,24,14:49 - s,19,198 reps - s,139,104 reps - s,36,232 reps - s,170,11:55 - s
44,Steven Glendenning,392,89,17:13 - s,78,149 reps - s,56,154 reps - s,135,203 reps - s,34,8:40 - s
45,Erik Holm,411,36,15:31 - s,18,199 reps - s,80,131 reps - s,141,202 reps - s,136,11:08 - s
46,Justin Styffe,416,8,13:52 - s,15,207 reps - s,29,191 reps - s,5,259 reps - s,359,0
47,Lee Purvis,421,50,16:11 - s,42,170 reps - s,118,107 reps - s,105,209 reps - s,106,10:21 - s
48,Taylor Kostiuk,436,88,17:10 - s,72,152 reps - s,70,141 reps - s,40,231 reps - s,166,11:51 - s
49,Aaron Doyle,449,38,15:38 - s,214,115 reps - s,88,130 reps - s,37,232 reps - s,72,9:43 - s
50,Caleb Clark,452,27,15:00 - s,25,182 reps - s,25,203 reps - s,16,250 reps - s,359,0
50,Simon Kelly,452,157,18:38 - s,63,161 reps - s,85,131 reps - s,78,217 reps - s,69,9:38 - s
52,Jeff Livingstone,458,63,16:40 - s,30,176 reps - s,170,94 reps - s,77,217 reps - s,118,10:41 - s
53,Spencer Britz,460,10,13:57 - s,166,123 reps - s,113,117 reps - s,81,216 reps - s,90,9:59 - s
54,Jason Bekolay,469,104,17:30 - s,139,133 reps - s,14,22:12 - s,90,212 reps - s,122,10:52 - s
55,Terrill Hagar,472,13,14:12 - s,5,221 reps - s,391,0,43,230 reps - s,20,8:04 - s
56,Sunil Shah,474,105,17:31 - s,107,140 reps - s,99,129 reps - s,89,213 reps - s,74,9:45 - s
57,Peter Ramsay,482,183,19:11 - s,127,136 reps - s,65,141 reps - s,52,226 reps - s,55,9:21 - s
58,Gary Fitzpatrick,484,131,18:16 - s,129,136 reps - s,44,178 reps - s,117,206 reps - s,63,9:33 - s
59,Kevin Mandarino,488,120,17:55 - s,67,157 reps - s,59,154 reps - s,84,216 reps - s,158,11:45 - s
60,Garth Roberts,491,81,17:00 - s,108,139 reps - s,108,118 reps - s,38,231 reps - s,156,11:42 - s
