Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
1,Mario Fabre,70,51,13:37 - s,4,256 reps - s,3,13:40 - s,8,290 reps - s,4,6:05 - s
2,Federico Gryntysz,79,34,13:16 - s,27,229 reps - s,2,12:37 - s,9,288 reps - s,7,6:09 - s
3,Lucas Rey,92,3,11:36 - s,5,256 reps - s,44,19:23 - s,13,284 reps - s,27,6:53 - s
4,Leonardo Bogado,95,67,13:50 - s,1,288 reps - s,1,10:39 - s,11,286 reps - s,15,6:34 - s
5,Pedro Cubas,205,43,13:25 - s,116,209 reps - s,9,15:24 - s,32,275 reps - s,5,6:07 - s
6,Daniel Vianna,239,25,13:04 - s,28,228 reps - s,30,18:05 - s,72,263 reps - s,84,7:32 - s
7,Antnio Santos,288,15,12:50 - s,67,214 reps - s,124,215 reps - s,58,265 reps - s,24,6:50 - s
8,Gabriel Pamplona,295,76,13:53 - s,34,225 reps - s,162,191 reps - s,14,282 reps - s,9,6:23 - s
9,Malvin Cabrera,299,25,13:04 - s,68,214 reps - s,158,191 reps - s,5,295 reps - s,43,7:04 - s
10,Americo Maia,303,117,14:15 - s,92,210 reps - s,22,17:02 - s,54,266 reps - s,18,6:41 - s
11,Derek Cardona,305,4,11:55 - s,7,253 reps - s,292,167 reps - s,1,314 reps - s,1,5:26 - s
12,Rafael Ricardo Sousa,310,2,11:31 - s,62,215 reps - s,58,20:23 - s,149,253 reps - s,39,7:00 - s
13,Lucas Borges,315,62,13:47 - s,132,207 reps - s,59,20:29 - s,39,273 reps - s,23,6:49 - s
14,Massusinei Silva,323,29,13:08 - s,14,238 reps - s,94,22:42 - s,162,252 reps - s,24,6:50 - s
15,Alejandro Cardenas,372,133,14:24 - s,159,204 reps - s,27,17:31 - s,21,277 reps - s,32,6:56 - s
16,Leandro Roratto,388,21,12:58 - s,98,209 reps - s,185,191 reps - s,57,266 reps - s,27,6:53 - s
17,Roberto Javier Rivera,404,55,13:41 - s,115,209 reps - s,157,191 reps - s,10,287 reps - s,67,7:24 - s
18,Willian Duarte,405,181,14:46 - s,105,209 reps - s,23,17:08 - s,77,262 reps - s,19,6:42 - s
19,Juan Esteban Badillo,421,9,12:32 - s,8,249 reps - s,232,179 reps - s,83,262 reps - s,89,7:34 - s
20,Silvio de Paula Neto,430,62,13:47 - s,186,203 reps - s,91,22:33 - s,62,265 reps - s,29,6:54 - s
21,Ernesto Malave,443,101,14:09 - s,250,194 reps - s,28,18:00 - s,28,275 reps - s,36,6:57 - s
22,Erasmo Portillo,444,49,13:33 - s,110,209 reps - s,160,191 reps - s,89,261 reps - s,36,6:57 - s
23,Fernando Kowalczyk,449,190,14:49 - s,154,204 reps - s,36,18:34 - s,45,270 reps - s,24,6:50 - s
